model,stratum,level,n,MAE,RMSE,MAE_const1,RMSE_const1,MAE_mean,RMSE_mean,MAE_partial,n_partial,full_score_rate,skill_MAE,skill_RMSE
B0_mean,总体,B0_mean,11065,0.17901069074317855,0.24540807859263086,0.13708673595420998,0.28108324049686084,0.1789987723095129,0.24538747912971604,0.24444706701720478,4320,0.6095797559873475,-0.30582065067894026,-8.394667481770313e-05
B0_mean,版本,V4,2108,0.18231974165355783,0.2505708451738741,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.2487019521630623,854,0.594876660341556,-0.2443643420348931,-0.001100121660353226
B0_mean,版本,V3,2475,0.21881548385617816,0.3018208741414052,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.32899526203376217,1054,0.5741414141414142,-0.14581501821444864,-0.016345779086344825
B0_mean,版本,V2,1088,0.16455708950282621,0.21330434735754011,0.12091911764705883,0.24472198924914537,0.15783463992214533,0.21276141334724108,0.2066755528036076,430,0.6047794117647058,-0.36088562921157585,-0.0025518443488290465
B0_mean,版本,V1,1144,0.20966141531819377,0.2939428128931278,0.18660008741258743,0.34460324017355365,0.22569924492028945,0.28970985574489283,0.29141938963524844,538,0.5297202797202797,-0.12358690837382036,-0.01461102224966182
B0_mean,版本,V5,2226,0.15798280395661807,0.21027157833478632,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.19571016244895806,794,0.6433063791554358,-0.500152487856578,-0.011425555927728537
B0_mean,版本,V6,1478,0.14015387905885124,0.1755119358464494,0.08312974740640505,0.18651421353270062,0.1133836556062362,0.16696405884461823,0.1459288424742426,513,0.6529093369418133,-0.6859654146868315,-0.05119591043115501
B0_mean,版本,V7,546,0.14129492264473803,0.1726748356800217,0.060513400488400496,0.16604433335864519,0.09265132677660143,0.15462486540607673,0.15291512175481745,137,0.7490842490842491,-1.3349360886077148,-0.11673394331850862
B0_mean,工况,frontal_frb100,4209,0.19279759467150082,0.2660872386845062,0.1744701473033975,0.31596946972404694,0.20324921817569416,0.2634328633591986,0.25533795042348795,1983,0.5288667141838916,-0.1050463225449827,-0.01007609791527142
B0_mean,工况,frontal_odb40,2674,0.19686471619781,0.28109646671764904,0.19824869109947643,0.33847356374818244,0.2111026248497261,0.27433885950360604,0.24088812019667885,1540,0.42408376963350786,0.006981003980359057,-0.024632336907248087
B0_mean,工况,side_mdb,3122,0.1597446316642337,0.20211852051067578,0.05470339525944907,0.1924864170270472,0.09524857359541782,0.18454961199362843,0.3003673817578899,433,0.8613068545803971,-1.9201959203188683,-0.09519883746845226
B0_mean,工况,child_static,57,0.10159615379873985,0.11531975482583127,0.08035672514619882,0.12855977591924098,0.09262357648507231,0.10035144596957092,0.05617462517500419,25,0.5614035087719298,-0.26431426385157675,-0.14915887570567854
B0_mean,工况,frontal_mpdb50,589,0.13136042410874035,0.14668845985628448,0.0597720713073005,0.13815509518951924,0.08636541892822869,0.12455572976969027,0.11796413448446617,178,0.6977928692699491,-1.1976890081889486,-0.17769339176542687
B0_mean,工况,side_pole,231,0.14864768317981603,0.1729238167385089,0.036043290043290044,0.14473833495677849,0.06411080189651615,0.1401786961307455,0.2317144161763414,28,0.8787878787878788,-3.1241430236052725,-0.2335955570397219
B0_mean,工况,whiplash,131,0.12125258608719756,0.1877515740549015,0.2157007633587786,0.27496195184394523,0.12537500145679156,0.1705205431854832,0.12074496178084297,127,0.030534351145038167,0.0328806805319537,-0.10104958937806852
